epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8511,0.09427,6.72647,2.82818,1e-05,0.01587,2e-05,0,0.09426,4.81306,2.6452,0.0964684,0.0004684,0.0004684
2,31.6673,0.0762,5.13019,1.57526,0,0,0,0,0.10083,4.96753,5.87116,0.0920191,0.00101912,0.00101912
3,33.5703,0.07068,4.26735,1.57163,0.00098,0.03248,0.00061,0.00013,0.10641,4.7534,8.52977,0.0875312,0.0015312,0.0015312
4,35.9931,0.06754,3.96574,1.62849,0,0,0,0,nan,nan,nan,0.0830046,0.00200463,0.00200463
5,39.3652,0.06676,3.53095,1.56377,0,0,0,0,nan,nan,nan,0.0784394,0.00243943,0.00243943
6,44.0105,0.06512,3.41306,1.54205,6e-05,0.00152,3e-05,0,nan,nan,nan,0.0738356,0.00283558,0.00283558
7,50.687,0.06427,3.12388,1.55374,0,0,0,0,nan,nan,nan,0.0691931,0.00319308,0.00319308
8,57.1976,0.06515,3.1887,1.63263,0,0,0,0,nan,nan,nan,0.0645119,0.00351195,0.00351195
9,61.5552,0.06498,2.95612,1.49715,0,0,0,0,nan,nan,nan,0.0597922,0.00379217,0.00379217
10,66.1836,0.06348,2.83151,1.46353,0,0,0,0,nan,nan,nan,0.0550337,0.00403374,0.00403374
11,70.8255,0.06693,3.21156,1.60262,0,0,0,0,0.11991,inf,172.887,0.0502367,0.00423668,0.00423668
12,75.1934,0.06287,3.10171,1.50625,0,0,0,0,0.10904,inf,11.5852,0.045401,0.00440097,0.00440097
13,80.0858,0.06353,3.02129,1.55598,6e-05,0.00089,3e-05,1e-05,0.11353,inf,27.9034,0.0405266,0.00452662,0.00452662
14,82.1588,0.06435,2.88922,1.51528,0,0,0,0,0.11499,inf,14.2658,0.0356136,0.00461362,0.00461362
15,84.1352,0.06258,2.9018,1.49717,0.00018,0.00179,9e-05,1e-05,0.12039,47.54,9.01577,0.030662,0.00466199,0.00466199
16,86.5294,0.06236,2.80417,1.46814,2e-05,0.00089,1e-05,0,0.12006,22.7348,10.1018,0.0256717,0.0046717,0.0046717
17,88.3625,0.06002,2.70663,1.40896,0.00016,0.00536,9e-05,2e-05,0.11485,11.7815,6.55999,0.0206428,0.00464278,0.00464278
18,90.2938,0.06,2.74189,1.43691,0.00037,0.00469,0.0002,8e-05,0.09853,10.9567,4.33772,0.0155752,0.00457521,0.00457521
19,92.0867,0.05878,2.75424,1.41762,0.00071,0.00558,0.00036,0.00012,0.09177,26.4259,2.89667,0.010469,0.004469,0.004469
20,93.9235,0.05899,2.68411,1.41397,0.00658,0.08019,0.00446,0.00137,0.0856,39.2198,2.36082,0.00532415,0.00432415,0.00432415
21,99.1034,0.058,2.95936,1.49398,0.00592,0.17047,0.0077,0.00193,0.08201,8.7251,2.26851,0.0039814,0.0039814,0.0039814
22,101.99,0.05941,2.8521,1.5242,0.02034,0.06747,0.00942,0.00271,0.07314,9.46202,1.78726,0.00359497,0.00359497,0.00359497
23,104.329,0.05773,2.7449,1.46234,0.03125,0.11194,0.02554,0.00655,0.0753,4.76775,1.71131,0.00320854,0.00320854,0.00320854
24,106.436,0.05749,2.82319,1.53692,0.03141,0.09169,0.02517,0.00583,0.07608,4.81915,1.68942,0.00282211,0.00282211,0.00282211
25,108.284,0.05688,2.83708,1.46198,0.1786,0.06426,0.0234,0.00531,0.0783,4.38405,1.7614,0.00243568,0.00243568,0.00243568
26,110.118,0.05655,2.63675,1.44048,0.75141,0.09824,0.03343,0.00793,0.07638,3.93109,1.72643,0.00204925,0.00204925,0.00204925
27,111.948,0.05675,2.76478,1.47013,0.77304,0.08831,0.04815,0.01162,0.07316,3.57293,1.61058,0.00166282,0.00166282,0.00166282
28,113.867,0.05564,2.65223,1.42627,0.63971,0.09552,0.05244,0.01355,0.07343,3.49103,1.62384,0.00127639,0.00127639,0.00127639
29,115.754,0.0569,2.74431,1.4239,0.63973,0.09589,0.05173,0.0146,0.07236,3.45014,1.62519,0.00088996,0.00088996,0.00088996
30,117.609,0.0562,2.66243,1.42902,0.78459,0.11903,0.06672,0.0191,0.07121,3.26372,1.63722,0.00050353,0.00050353,0.00050353
